group,monitor,aqs_site_id,county,row_type,row,health_effects,period,period_start,period_end,value_shown,statistic,mean_ppb,screening_level_ppb,n_samples,n_weeks,coverage,coverage_flag,design_value,naaqs,dv_method,data_cutoff
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,total,Total (Combined),,2026 YTD,2026-01-01,2026-09-12,5.8314,sum of pollutant ratios,,,,,0.79281,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,total,Total (Combined),,Last 365 Days,2025-09-12,2026-09-12,6.0438,sum of pollutant ratios,,,,,0.80294,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,total,Total (Combined),,Sep 2026,2026-09-01,2026-09-30,5.3342,sum of pollutant ratios,,,,,0.89881,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,pollutant,"1,3-Butadiene",Cancer,2023,2023-01-01,2023-12-31,2.7791,mean ÷ screening level,0.11809,0.04249,7258.0,,0.82854,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,pollutant,"1,3-Butadiene",Cancer,2024,2024-01-01,2024-12-31,3.1745,mean ÷ screening level,0.13488,0.04249,6800.0,,0.77413,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,pollutant,"1,3-Butadiene",Cancer,2025,2025-01-01,2025-12-31,3.463,mean ÷ screening level,0.14715,0.04249,6761.0,,0.7718,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,pollutant,"1,3-Butadiene",Cancer,2026 YTD,2026-01-01,2026-09-12,2.8422,mean ÷ screening level,0.12077,0.04249,4991.0,,0.81552,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,pollutant,"1,3-Butadiene",Cancer,Last 365 Days,2025-09-12,2026-09-12,3.0581,mean ÷ screening level,0.12994,0.04249,7256.0,,0.82605,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,pollutant,"1,3-Butadiene",Cancer,Sep 2026,2026-09-01,2026-09-30,3.3681,mean of weekly means ÷ screening level,0.14311,0.04249,151.0,1.0,0.89881,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,pollutant,Benzene,Cancer,2023,2023-01-01,2023-12-31,1.8604,mean ÷ screening level,0.20964,0.11269,7258.0,,0.82854,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,pollutant,Benzene,Cancer,2024,2024-01-01,2024-12-31,1.643,mean ÷ screening level,0.18514,0.11269,6743.0,,0.76765,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,pollutant,Benzene,Cancer,2025,2025-01-01,2025-12-31,1.599,mean ÷ screening level,0.18019,0.11269,6814.0,,0.77785,,,,,2026-09-12
Cancer Risk,Clinton [A] POC 2,48-201-1035,Harris,pollutant,Benzene,Cancer,2026 YTD,2026-01-01,2026-09-12,0.9421,mean ÷ screening level,0.10616,0.11269,4991.0,,0.81552,,,,,2026-09-12
